id;nomfiliere;responsable;accreditaion;programme
1;Technician Architect calculate;Auto Loan Account;Movies Sports;MASTER_EXECUTIF
2;compress UAE Dirham Dam;Wells;partnerships Terrace Hat;MASTER
3;Kroon deposit systemic;Liaison Grocery capacitor;applications invoice unleash;MASTER_EXECUTIF
4;e-services;program override red;payment efficient RSS;LICENCE
5;SDD;Cheese Summit Saint Martin;Auto Loan Account;MASTER_EXECUTIF
6;Principal Savings Account online;Music Savings Account;Ethiopian Birr architectures;LICENCE
7;Handcrafted Rubber Gloves;South Carolina;website Curve;MASTER_EXECUTIF
8;disintermediate Walks Credit Card Account;payment;XSS solid state Handmade Granite Fish;LICENCE
9;Planner;Health;Savings Account Rupiah;LICENCE
10;Borders;PCI;Sports;MASTER_EXECUTIF
